Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
     8     10   0.0628    0.0  0.0294  0.0962   True
     8     11    0.051    0.0  0.0176  0.0844   True
     8     12   0.0075    1.0 -0.0259  0.0409  False
     8     13   0.0472 0.0001  0.0138  0.0806   True
     8     14   0.0006    1.0 -0.0328   0.034  False
     8     15   0.0386 0.0064  0.0052  0.0721   True
     8     16    0.044 0.0005  0.0106  0.0774   True
     8     17   0.0363 0.0165  0.0029  0.0698   True
     8     18   0.0387 0.0063  0.0053  0.0721   True
     8     19   0.0377 0.0093  0.0043  0.0712   True
     8     20    0.036 0.0186  0.0026  0.0694   True
     8     21   0.0255 0.4546 -0.0079  0.0589  False
     8     22   0.0228  0.692 -0.0106  0.0562  False
     8     23   0.0583    0.0  0.0248  0.0917   True
     8     24   0.0561    0.0  0.0227  0.0895   True
     8     25   0.0228 0.6939 -0.0106  0.0562  False
     8     26   0.0443 0.0005  0.0108  0.0777   True
     8     27   0.0508    0.0  0.0174  0.0842   True
     8     28   0.0608    0.0  0.0273  0.0942   True
     8     29   0.0505    0.0  0.0171  0.0839   True
     8     30   0.0394 0.0046   0.006  0.0728   True
     8     31   0.0696    0.0  0.0362  0.1031   True
     9     10   0.0661    0.0  0.0327  0.0995   True
     9     11   0.0543    0.0  0.0209  0.0877   True
     9     12   0.0108    1.0 -0.0226  0.0442  False
     9     13   0.0505    0.0  0.0171  0.0839   True
     9     14   0.0039    1.0 -0.0295  0.0373  False
     9     15   0.0419 0.0015  0.0085  0.0754   True
     9     16   0.0473 0.0001  0.0139  0.0808   True
     9     17   0.0396 0.0041  0.0062  0.0731   True
     9     18    0.042 0.0014  0.0086  0.0754   True
     9     19    0.041 0.0022  0.0076  0.0745   True
     9     20   0.0393 0.0047  0.0059  0.0728   True
     9     21   0.0288  0.212 -0.0046  0.0622  False
     9     22   0.0261 0.4008 -0.0073  0.0596  False
     9     23   0.0616    0.0  0.0281   0.095   True
     9     24   0.0594    0.0   0.026  0.0928   True
     9     25   0.0261 0.4027 -0.0073  0.0595  False
     9     26   0.0476 0.0001  0.0142   0.081   True
     9     27   0.0541    0.0  0.0207  0.0875   True
     9     28   0.0641    0.0  0.0307  0.0975   True
     9     29   0.0538    0.0  0.0204  0.0872   True
     9     30   0.0427  0.001  0.0093  0.0761   True
     9     31    0.073    0.0  0.0395  0.1064   True
    10     11  -0.0118    1.0 -0.0452  0.0216  False
    10     12  -0.0554    0.0 -0.0888 -0.0219   True
    10     13  -0.0156 0.9945  -0.049  0.0178  False
    10     14  -0.0622    0.0 -0.0956 -0.0288   True
    10     15  -0.0242 0.5732 -0.0576  0.0092  False
    10     16  -0.0188 0.9415 -0.0522  0.0146  False
    10     17  -0.0265  0.373 -0.0599  0.0069  False
    10     18  -0.0241 0.5763 -0.0576  0.0093  False
    10     19  -0.0251 0.4921 -0.0585  0.0083  False
    10     20  -0.0268 0.3489 -0.0602  0.0066  False
    10     21  -0.0373 0.0111 -0.0707 -0.0039   True
    10     22    -0.04 0.0035 -0.0734 -0.0066   True
    10     23  -0.0046    1.0  -0.038  0.0288  False
    10     24  -0.0067    1.0 -0.0402  0.0267  False
    10     25    -0.04 0.0035 -0.0734 -0.0066   True
    10     26  -0.0186 0.9485  -0.052  0.0148  False
    10     27   -0.012 0.9999 -0.0454  0.0214  False
    10     28  -0.0021    1.0 -0.0355  0.0313  False
    10     29  -0.0124 0.9999 -0.0458   0.021  False
    10     30  -0.0234 0.6401 -0.0568    0.01  False
    10     31   0.0068    1.0 -0.0266  0.0402  False
    11     12  -0.0436 0.0007  -0.077 -0.0102   True
    11     13  -0.0038    1.0 -0.0372  0.0296  False
    11     14  -0.0504    0.0 -0.0839  -0.017   True
    11     15  -0.0124 0.9999 -0.0458   0.021  False
    11     16   -0.007    1.0 -0.0404  0.0264  False
    11     17  -0.0147 0.9979 -0.0481  0.0187  False
    11     18  -0.0124 0.9999 -0.0458  0.0211  False
    11     19  -0.0133 0.9996 -0.0467  0.0201  False
    11     20   -0.015  0.997 -0.0484  0.0184  False
    11     21  -0.0255 0.4532 -0.0589  0.0079  False
    11     22  -0.0282 0.2491 -0.0616  0.0052  False
    11     23   0.0072    1.0 -0.0262  0.0406  False
    11     24    0.005    1.0 -0.0284  0.0385  False
    11     25  -0.0282 0.2477 -0.0616  0.0052  False
    11     26  -0.0068    1.0 -0.0402  0.0266  False
    11     27  -0.0002    1.0 -0.0336  0.0332  False
    11     28   0.0097    1.0 -0.0237  0.0431  False
    11     29  -0.0006    1.0  -0.034  0.0328  False
    11     30  -0.0116    1.0 -0.0451  0.0218  False
    11     31   0.0186 0.9468 -0.0148   0.052  False
    12     13   0.0397  0.004  0.0063  0.0731   True
    12     14  -0.0069    1.0 -0.0403  0.0265  False
    12     15   0.0312 0.1058 -0.0022  0.0646  False
    12     16   0.0366  0.015  0.0032    0.07   True
    12     17   0.0289 0.2082 -0.0045  0.0623  False
    12     18   0.0312 0.1047 -0.0022  0.0646  False
    12     19   0.0303 0.1398 -0.0031  0.0637  False
    12     20   0.0286 0.2258 -0.0048   0.062  False
    12     21    0.018 0.9627 -0.0154  0.0515  False
    12     22   0.0154 0.9957  -0.018  0.0488  False
    12     23   0.0508    0.0  0.0174  0.0842   True
    12     24   0.0486 0.0001  0.0152   0.082   True
    12     25   0.0154 0.9958 -0.0181  0.0488  False
    12     26   0.0368 0.0138  0.0034  0.0702   True
    12     27   0.0434 0.0007  0.0099  0.0768   True
    12     28   0.0533    0.0  0.0199  0.0867   True
    12     29    0.043 0.0009  0.0096  0.0764   True
    12     30   0.0319 0.0832 -0.0015  0.0653  False
    12     31   0.0622    0.0  0.0288  0.0956   True
    13     14  -0.0466 0.0002   -0.08 -0.0132   True
    13     15  -0.0086    1.0  -0.042  0.0249  False
    13     16  -0.0032    1.0 -0.0366  0.0302  False
    13     17  -0.0109    1.0 -0.0443  0.0226  False
    13     18  -0.0085    1.0 -0.0419  0.0249  False
    13     19  -0.0095    1.0 -0.0429   0.024  False
    13     20  -0.0112    1.0 -0.0446  0.0222  False
    13     21  -0.0217 0.7837 -0.0551  0.0117  False
    13     22  -0.0244 0.5565 -0.0578   0.009  False
    13     23   0.0111    1.0 -0.0224  0.0445  False
    13     24   0.0089    1.0 -0.0245  0.0423  False
    13     25  -0.0244 0.5545 -0.0578   0.009  False
    13     26  -0.0029    1.0 -0.0364  0.0305  False
    13     27   0.0036    1.0 -0.0298   0.037  False
    13     28   0.0136 0.9994 -0.0198   0.047  False
    13     29   0.0033    1.0 -0.0301  0.0367  False
    13     30  -0.0078    1.0 -0.0412  0.0256  False
    13     31   0.0225 0.7243  -0.011  0.0559  False
    14     15   0.0381 0.0082  0.0046  0.0715   True
    14     16   0.0434 0.0007    0.01  0.0769   True
    14     17   0.0358 0.0208  0.0023  0.0692   True
    14     18   0.0381 0.0081  0.0047  0.0715   True
    14     19   0.0372 0.0119  0.0037  0.0706   True
    14     20   0.0354 0.0235   0.002  0.0689   True
    14     21   0.0249 0.5067 -0.0085  0.0583  False
    14     22   0.0222 0.7408 -0.0112  0.0557  False
    14     23   0.0577    0.0  0.0243  0.0911   True
    14     24   0.0555    0.0  0.0221  0.0889   True
    14     25   0.0222 0.7426 -0.0112  0.0556  False
    14     26   0.0437 0.0006  0.0103  0.0771   True
    14     27   0.0502    0.0  0.0168  0.0836   True
    14     28   0.0602    0.0  0.0268  0.0936   True
    14     29   0.0499    0.0  0.0165  0.0833   True
    14     30   0.0388 0.0059  0.0054  0.0722   True
    14     31   0.0691    0.0  0.0356  0.1025   True
    15     16   0.0054    1.0  -0.028  0.0388  False
    15     17  -0.0023    1.0 -0.0357  0.0311  False
    15     18      0.0    1.0 -0.0334  0.0334  False
    15     19  -0.0009    1.0 -0.0343  0.0325  False
    15     20  -0.0026    1.0  -0.036  0.0308  False
    15     21  -0.0131 0.9997 -0.0465  0.0203  False
    15     22  -0.0158 0.9934 -0.0492  0.0176  False
    15     23   0.0196 0.9093 -0.0138   0.053  False
    15     24   0.0174 0.9753  -0.016  0.0508  False
    15     25  -0.0158 0.9933 -0.0492  0.0176  False
    15     26   0.0056    1.0 -0.0278   0.039  False
    15     27   0.0122 0.9999 -0.0212  0.0456  False
    15     28   0.0221 0.7512 -0.0113  0.0555  False
    15     29   0.0118    1.0 -0.0216  0.0452  False
    15     30   0.0007    1.0 -0.0327  0.0342  False
    15     31    0.031 0.1119 -0.0024  0.0644  False
    16     17  -0.0077    1.0 -0.0411  0.0257  False
    16     18  -0.0054    1.0 -0.0388  0.0281  False
    16     19  -0.0063    1.0 -0.0397  0.0271  False
    16     20   -0.008    1.0 -0.0414  0.0254  False
    16     21  -0.0185 0.9495 -0.0519  0.0149  False
    16     22  -0.0212 0.8186 -0.0546  0.0122  False
    16     23   0.0142 0.9988 -0.0192  0.0476  False
    16     24    0.012 0.9999 -0.0214  0.0455  False
    16     25  -0.0212 0.8171 -0.0546  0.0122  False
    16     26   0.0002    1.0 -0.0332  0.0336  False
    16     27   0.0068    1.0 -0.0266  0.0402  False
