Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
17,"torch.Size([5428, 8192])",0.5469613259668509,0.5469198389087891,0.5220994475138122,0.5210000157317388,0.5267034990791897,0.5196165364960271,0.5276243093922652,0.5184917784351141,0.5377532228360957,0.5377344076504493
18,"torch.Size([5428, 8192])",0.5865561694290976,0.5866336533118074,0.6058931860036832,0.6056445407017348,0.576427255985267,0.5762331702337941,0.5966850828729282,0.5968328849497498,0.5847145488029466,0.5844979554907924
19,"torch.Size([5428, 2048])",0.5847145488029466,0.5839411435847471,0.6049723756906077,0.604681340335872,0.6012891344383057,0.6013348012524702,0.5920810313075506,0.592016337562924,0.6058931860036832,0.6053876001936267
20,"torch.Size([5428, 2048])",0.5994475138121547,0.5983636012479483,0.569060773480663,0.5682185918257041,0.6095764272559853,0.6075172872511085,0.5865561694290976,0.5857818649435881,0.6243093922651933,0.6223341861940679
21,"torch.Size([5428, 8192])",0.5193370165745856,0.5191201638717512,0.5156537753222836,0.5141959194570941,0.5423572744014733,0.5319506252888215,0.5193370165745856,0.5191984377832011,0.5405156537753223,0.5405051340436576
22,"torch.Size([5428, 8192])",0.5441988950276243,0.5439268909251754,0.5303867403314917,0.5298507832404867,0.5349907918968693,0.5350361541463273,0.5230202578268877,0.5214741375089067,0.5524861878453039,0.5491825123212772
23,"torch.Size([5428, 28672])",0.643646408839779,0.6437672994111726,0.6464088397790055,0.6464160360253085,0.6546961325966851,0.6546946686643541,0.6353591160220995,0.6353591160220995,0.6694290976058932,0.6693671450137043
24,"torch.Size([5428, 28672])",0.6602209944751382,0.6602633463137507,0.6362799263351749,0.6359881898473364,0.647329650092081,0.6473431063755113,0.6528545119705341,0.6528883619898438,0.641804788213628,0.6416258478261567
25,"torch.Size([5428, 8192])",0.5377532228360957,0.5365845406864934,0.5626151012891344,0.5610909901936251,0.5322283609576427,0.5312407158201298,0.5128913443830571,0.5105569996191761,0.5405156537753223,0.5406501236514386
26,"torch.Size([5428, 28672])",0.6445672191528545,0.6444321836323156,0.6197053406998159,0.6197985512027963,0.639963167587477,0.6395497525485659,0.6372007366482505,0.6374173861364223,0.651012891344383,0.6510232479668911
27,"torch.Size([5428, 8192])",0.6095764272559853,0.6095923178885567,0.6169429097605893,0.6166335031450891,0.6519337016574586,0.6519100597841058,0.6344383057090239,0.6344417152356349,0.6169429097605893,0.616851937454265
28,"torch.Size([5428, 8192])",0.6482504604051565,0.6482862509566009,0.6372007366482505,0.6371318195561619,0.6408839779005525,0.6408839779005525,0.6427255985267035,0.6427728827049899,0.64548802946593,0.6454143089000862
29,"torch.Size([5428, 8192])",0.576427255985267,0.570921588350844,0.5616942909760589,0.5563112076305355,0.5570902394106814,0.5559193538569585,0.5828729281767956,0.5812195524806203,0.5441988950276243,0.5431120592424448
30,"torch.Size([5428, 8192])",0.5534069981583793,0.5530193105550038,0.5644567219152854,0.5642310512488999,0.5488029465930019,0.5451072134840059,0.5607734806629834,0.5549102544256843,0.5488029465930019,0.5482845285055106
31,"torch.Size([5428, 8192])",0.6390423572744015,0.6390815405590572,0.647329650092081,0.6473042323229973,0.6408839779005525,0.6407304121171241,0.6252302025782689,0.6252120898820521,0.6546961325966851,0.6543079941453114
