
Layer,Activations Shape,Run1 Accuracy,Run1 F1,Run2 Accuracy,Run2 F1,Run3 Accuracy,Run3 F1,Run4 Accuracy,Run4 F1,Run5 Accuracy,Run5 F1
13,"torch.Size([5428, 28672])",0.583793738489871,0.5835762641940031,0.5865561694290976,0.586628739415003,0.6040515653775322,0.6040515653775322,0.6022099447513812,0.6022261345482677,0.6049723756906077,0.6054338741788781
14,"torch.Size([5428, 8192])",0.5865561694290976,0.5862696778409968,0.6003683241252302,0.6003479933950299,0.6058931860036832,0.6058597671831331,0.5644567219152854,0.56433669898325,0.576427255985267,0.5763279541391914
15,"torch.Size([5428, 8192])",0.6022099447513812,0.6020075503241094,0.6068139963167587,0.6069070154804492,0.6187845303867403,0.6190406331763749,0.6270718232044199,0.6271847497869578,0.6068139963167587,0.606770990081761
16,"torch.Size([5428, 8192])",0.5478821362799263,0.5450428903006015,0.5202578268876611,0.5197994242730635,0.567219152854512,0.5635988598294144,0.5488029465930019,0.5456174474289727,0.5488029465930019,0.5489498839104605
17,"torch.Size([5428, 8192])",0.5598526703499079,0.5526334009435292,0.5276243093922652,0.5253121266031847,0.5257826887661142,0.525800782969724,0.5552486187845304,0.5543816835365164,0.5359116022099447,0.531463070461905
18,"torch.Size([5428, 8192])",0.6049723756906077,0.6050879820570484,0.5985267034990792,0.5984994617919657,0.5930018416206262,0.593026688461681,0.5736648250460405,0.5718867271500137,0.5874769797421732,0.5874434009041863
19,"torch.Size([5428, 2048])",0.6095764272559853,0.6094172185323535,0.5570902394106814,0.5569584159996617,0.583793738489871,0.5834180054562291,0.5976058931860037,0.59671802408257,0.6224677716390423,0.6220552003177517
20,"torch.Size([5428, 2048])",0.5976058931860037,0.5956752587119529,0.6104972375690608,0.6103468147892555,0.6095764272559853,0.6084981438723082,0.6058931860036832,0.6057846498553979,0.5755064456721916,0.5756803672314008
21,"torch.Size([5428, 8192])",0.5395948434622467,0.5394683276339358,0.5432780847145487,0.5424843061094016,0.5506445672191529,0.5486157639999157,0.501841620626151,0.5019037137011899,0.5322283609576427,0.5316884290005732
22,"torch.Size([5428, 8192])",0.5515653775322283,0.5513261580402465,0.5331491712707183,0.5327177042994737,0.5165745856353591,0.5164741578337712,0.5405156537753223,0.5405448738646468,0.5469613259668509,0.5461507903163366
23,"torch.Size([5428, 28672])",0.639963167587477,0.6398284921816355,0.6261510128913443,0.6262778131433883,0.6648250460405156,0.6647202753971199,0.6123388581952118,0.6123687736940125,0.651012891344383,0.6510629061603285
