Multiple Comparison of Means - Tukey HSD, FWER=0.05 
====================================================
group1 group2 meandiff p-adj   lower   upper  reject
    10     12  -0.0533 0.1332 -0.1118  0.0052  False
    10     13  -0.0119    1.0 -0.0704  0.0466  False
    10     14  -0.0217 0.9999 -0.0802  0.0368  False
    10     15   0.0041    1.0 -0.0544  0.0626  False
    10     16  -0.0637 0.0163 -0.1222 -0.0052   True
    10     17  -0.0704 0.0032 -0.1289 -0.0119   True
    10     18  -0.0171    1.0 -0.0756  0.0414  False
    10     19  -0.0146    1.0 -0.0731  0.0439  False
    10     20  -0.0091    1.0 -0.0676  0.0494  False
    10     21  -0.0755 0.0008  -0.134  -0.017   True
    10     22  -0.0709 0.0029 -0.1294 -0.0124   True
    10     23   0.0306 0.9751  -0.028  0.0891  False
    10     24   0.0235 0.9995  -0.035   0.082  False
    10     25  -0.0709 0.0028 -0.1294 -0.0124   True
    10     26   0.0252 0.9984 -0.0333  0.0838  False
    10     27   0.0062    1.0 -0.0523  0.0647  False
    10     28   0.0363 0.8485 -0.0222  0.0948  False
    10     29  -0.0356 0.8721 -0.0941  0.0229  False
    10     30  -0.0602 0.0351 -0.1187 -0.0017   True
    10     31   0.0381 0.7783 -0.0204  0.0966  False
    11     12  -0.0521 0.1633 -0.1106  0.0064  False
    11     13  -0.0107    1.0 -0.0692  0.0478  False
    11     14  -0.0205    1.0  -0.079   0.038  False
    11     15   0.0053    1.0 -0.0532  0.0638  False
    11     16  -0.0625 0.0214  -0.121  -0.004   True
    11     17  -0.0692 0.0044 -0.1277 -0.0107   True
    11     18  -0.0159    1.0 -0.0744  0.0426  False
    11     19  -0.0134    1.0 -0.0719  0.0451  False
    11     20  -0.0079    1.0 -0.0664  0.0506  False
    11     21  -0.0743 0.0012 -0.1328 -0.0158   True
    11     22  -0.0697 0.0039 -0.1282 -0.0112   True
    11     23   0.0318 0.9604 -0.0267  0.0903  False
    11     24   0.0247 0.9989 -0.0338  0.0832  False
    11     25  -0.0697 0.0038 -0.1282 -0.0112   True
    11     26   0.0265 0.9967  -0.032   0.085  False
    11     27   0.0074    1.0 -0.0511  0.0659  False
    11     28   0.0375 0.8026  -0.021   0.096  False
    11     29  -0.0344 0.9071 -0.0929  0.0241  False
    11     30   -0.059 0.0451 -0.1175 -0.0005   True
    11     31   0.0393  0.724 -0.0192  0.0978  False
    12     13   0.0414 0.6224 -0.0171  0.0999  False
    12     14   0.0316 0.9623 -0.0269  0.0901  False
    12     15   0.0574 0.0626 -0.0011  0.1159  False
    12     16  -0.0104    1.0 -0.0689  0.0481  False
    12     17  -0.0171    1.0 -0.0756  0.0414  False
    12     18   0.0362 0.8533 -0.0223  0.0947  False
    12     19   0.0387  0.752 -0.0198  0.0972  False
    12     20   0.0442 0.4782 -0.0143  0.1027  False
    12     21  -0.0222 0.9998 -0.0807  0.0363  False
    12     22  -0.0176    1.0 -0.0761  0.0409  False
    12     23   0.0838 0.0001  0.0253  0.1423   True
    12     24   0.0768 0.0006  0.0183  0.1353   True
    12     25  -0.0176    1.0 -0.0761  0.0409  False
    12     26   0.0785 0.0004    0.02   0.137   True
    12     27   0.0595  0.041   0.001   0.118   True
    12     28   0.0896    0.0  0.0311  0.1481   True
    12     29   0.0177    1.0 -0.0408  0.0762  False
    12     30  -0.0069    1.0 -0.0654  0.0516  False
    12     31   0.0914    0.0  0.0329  0.1499   True
    13     14  -0.0098    1.0 -0.0683  0.0487  False
    13     15    0.016    1.0 -0.0425  0.0745  False
    13     16  -0.0518 0.1717 -0.1103  0.0067  False
    13     17  -0.0585 0.0504  -0.117     0.0  False
    13     18  -0.0052    1.0 -0.0637  0.0533  False
    13     19  -0.0027    1.0 -0.0612  0.0558  False
    13     20   0.0028    1.0 -0.0557  0.0613  False
    13     21  -0.0636 0.0168 -0.1221  -0.005   True
    13     22  -0.0589 0.0457 -0.1174 -0.0004   True
    13     23   0.0425 0.5664  -0.016   0.101  False
    13     24   0.0354 0.8774 -0.0231   0.094  False
    13     25   -0.059 0.0454 -0.1175 -0.0005   True
    13     26   0.0372  0.817 -0.0213  0.0957  False
    13     27   0.0181    1.0 -0.0404  0.0766  False
    13     28   0.0482 0.2924 -0.0103  0.1067  False
    13     29  -0.0237 0.9995 -0.0822  0.0348  False
    13     30  -0.0483 0.2901 -0.1068  0.0102  False
    13     31     0.05  0.226 -0.0085  0.1085  False
    14     15   0.0258 0.9978 -0.0327  0.0843  False
    14     16   -0.042 0.5892 -0.1005  0.0165  False
    14     17  -0.0487 0.2738 -0.1072  0.0098  False
    14     18   0.0046    1.0 -0.0539  0.0631  False
    14     19   0.0071    1.0 -0.0514  0.0656  False
    14     20   0.0126    1.0 -0.0459  0.0711  False
    14     21  -0.0538 0.1221 -0.1123  0.0047  False
    14     22  -0.0492 0.2559 -0.1077  0.0093  False
    14     23   0.0522 0.1597 -0.0063  0.1107  False
    14     24   0.0452 0.4281 -0.0133  0.1037  False
    14     25  -0.0492 0.2545 -0.1077  0.0093  False
    14     26   0.0469  0.348 -0.0116  0.1054  False
    14     27   0.0278 0.9928 -0.0307  0.0863  False
    14     28    0.058 0.0554 -0.0005  0.1165  False
    14     29  -0.0139    1.0 -0.0724  0.0446  False
    14     30  -0.0385 0.7594  -0.097    0.02  False
    14     31   0.0598 0.0384  0.0013  0.1183   True
    15     16  -0.0678 0.0062 -0.1263 -0.0093   True
    15     17  -0.0745 0.0011  -0.133  -0.016   True
    15     18  -0.0212 0.9999 -0.0797  0.0373  False
    15     19  -0.0187    1.0 -0.0772  0.0398  False
    15     20  -0.0132    1.0 -0.0717  0.0453  False
    15     21  -0.0796 0.0003 -0.1381  -0.021   True
    15     22  -0.0749  0.001 -0.1334 -0.0164   True
    15     23   0.0265 0.9966  -0.032   0.085  False
    15     24   0.0195    1.0 -0.0391   0.078  False
    15     25   -0.075  0.001 -0.1335 -0.0165   True
    15     26   0.0212 0.9999 -0.0373  0.0797  False
    15     27   0.0021    1.0 -0.0564  0.0606  False
    15     28   0.0322  0.953 -0.0263  0.0907  False
    15     29  -0.0397 0.7058 -0.0982  0.0188  False
    15     30  -0.0643 0.0142 -0.1228 -0.0058   True
    15     31    0.034 0.9168 -0.0245  0.0925  False
    16     17  -0.0067    1.0 -0.0652  0.0518  False
    16     18   0.0466  0.363 -0.0119  0.1051  False
    16     19   0.0491 0.2586 -0.0094  0.1076  False
    16     20   0.0546 0.1059 -0.0039  0.1131  False
    16     21  -0.0118    1.0 -0.0703  0.0467  False
    16     22  -0.0072    1.0 -0.0657  0.0513  False
    16     23   0.0942    0.0  0.0357  0.1528   True
    16     24   0.0872    0.0  0.0287  0.1457   True
    16     25  -0.0072    1.0 -0.0657  0.0513  False
    16     26   0.0889    0.0  0.0304  0.1475   True
    16     27   0.0699 0.0037  0.0114  0.1284   True
    16     28      0.1    0.0  0.0415  0.1585   True
    16     29   0.0281 0.9919 -0.0304  0.0866  False
    16     30   0.0035    1.0  -0.055   0.062  False
    16     31   0.1018    0.0  0.0433  0.1603   True
    17     18   0.0533 0.1338 -0.0052  0.1118  False
    17     19   0.0558 0.0849 -0.0027  0.1143  False
    17     20   0.0613 0.0279  0.0028  0.1198   True
    17     21  -0.0051    1.0 -0.0636  0.0534  False
    17     22  -0.0005    1.0  -0.059   0.058  False
    17     23   0.1009    0.0  0.0424  0.1594   True
    17     24   0.0939    0.0  0.0354  0.1524   True
    17     25  -0.0005    1.0  -0.059   0.058  False
    17     26   0.0956    0.0  0.0371  0.1541   True
    17     27   0.0766 0.0006   0.018  0.1351   True
    17     28   0.1067    0.0  0.0482  0.1652   True
    17     29   0.0348 0.8977 -0.0237  0.0933  False
    17     30   0.0102    1.0 -0.0483  0.0687  False
    17     31   0.1085    0.0    0.05   0.167   True
    18     19   0.0025    1.0  -0.056   0.061  False
    18     20    0.008    1.0 -0.0505  0.0665  False
    18     21  -0.0584 0.0515 -0.1169  0.0001  False
    18     22  -0.0537 0.1232 -0.1122  0.0048  False
    18     23   0.0477 0.3161 -0.0108  0.1062  False
    18     24   0.0406 0.6595 -0.0179  0.0991  False
    18     25  -0.0538 0.1224 -0.1123  0.0047  False
    18     26   0.0424 0.5719 -0.0161  0.1009  False
    18     27   0.0233 0.9996 -0.0352  0.0818  False
    18     28   0.0534 0.1301 -0.0051  0.1119  False
    18     29  -0.0185    1.0  -0.077    0.04  False
    18     30  -0.0431 0.5338 -0.1016  0.0154  False
    18     31   0.0552 0.0945 -0.0033  0.1137  False
    19     20   0.0055    1.0  -0.053   0.064  False
    19     21  -0.0609 0.0304 -0.1194 -0.0024   True
    19     22  -0.0563 0.0776 -0.1148  0.0022  False
    19     23   0.0451 0.4313 -0.0134  0.1036  False
    19     24   0.0381 0.7779 -0.0204  0.0966  False
    19     25  -0.0563  0.077 -0.1148  0.0022  False
    19     26   0.0398 0.6992 -0.0187  0.0983  False
    19     27   0.0208    1.0 -0.0377  0.0793  False
    19     28   0.0509 0.1974 -0.0076  0.1094  False
    19     29   -0.021 0.9999 -0.0795  0.0375  False
    19     30  -0.0456 0.4077 -0.1041  0.0129  False
    19     31   0.0527 0.1476 -0.0058  0.1112  False
    20     21  -0.0664 0.0087 -0.1249 -0.0079   True
    20     22  -0.0618 0.0251 -0.1203 -0.0033   True
    20     23   0.0397  0.708 -0.0188  0.0982  False
