Layer,Activations Shape,Accuracy,F1 Score
0,"torch.Size([32, 32, 768])",0.7142857142857143,0.5952380952380952
0,"torch.Size([32, 34, 768])",0.5714285714285714,0.5523809523809524
0,"torch.Size([32, 31, 768])",0.8571428571428571,0.8571428571428571
0,"torch.Size([32, 32, 768])",0.14285714285714285,0.10714285714285714
0,"torch.Size([32, 32, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 40, 768])",0.8571428571428571,0.8744588744588745
0,"torch.Size([32, 40, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 41, 768])",0.14285714285714285,0.07142857142857142
0,"torch.Size([32, 40, 768])",0.42857142857142855,0.38095238095238093
0,"torch.Size([32, 36, 768])",0.42857142857142855,0.2571428571428571
0,"torch.Size([32, 40, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 50, 768])",1.0,1.0
0,"torch.Size([32, 38, 768])",0.7142857142857143,0.6714285714285715
0,"torch.Size([32, 33, 768])",0.14285714285714285,0.07142857142857142
0,"torch.Size([32, 30, 768])",0.14285714285714285,0.07142857142857142
0,"torch.Size([32, 32, 768])",0.42857142857142855,0.2571428571428571
0,"torch.Size([32, 31, 768])",0.5714285714285714,0.5904761904761904
0,"torch.Size([32, 36, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 33, 768])",0.8571428571428571,0.8571428571428571
0,"torch.Size([32, 38, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 43, 768])",0.42857142857142855,0.42857142857142855
0,"torch.Size([32, 34, 768])",0.42857142857142855,0.34285714285714286
0,"torch.Size([32, 35, 768])",0.7142857142857143,0.7261904761904762
0,"torch.Size([32, 42, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 45, 768])",0.42857142857142855,0.42857142857142855
0,"torch.Size([32, 35, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 35, 768])",0.42857142857142855,0.42857142857142855
0,"torch.Size([32, 31, 768])",0.7142857142857143,0.7023809523809523
0,"torch.Size([32, 49, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 39, 768])",0.2857142857142857,0.25396825396825395
0,"torch.Size([32, 42, 768])",0.2857142857142857,0.38095238095238093
0,"torch.Size([32, 35, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 34, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 36, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 36, 768])",0.5714285714285714,0.5523809523809524
0,"torch.Size([32, 42, 768])",0.42857142857142855,0.34285714285714286
0,"torch.Size([32, 31, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 37, 768])",0.42857142857142855,0.42857142857142855
0,"torch.Size([32, 28, 768])",0.42857142857142855,0.4047619047619047
0,"torch.Size([32, 29, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 63, 768])",0.5714285714285714,0.5714285714285714
0,"torch.Size([32, 39, 768])",0.7142857142857143,0.7142857142857143
0,"torch.Size([32, 37, 768])",0.5714285714285714,0.5194805194805195
0,"torch.Size([32, 34, 768])",0.2857142857142857,0.2857142857142857
0,"torch.Size([32, 36, 768])",0.5714285714285714,0.5142857142857143
0,"torch.Size([32, 36, 768])",0.5714285714285714,0.5142857142857143
